cid,Molecular_weight,LogP,abonds,dbonds,nF,sbonds,tbonds,Ncharges,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,MolarRefractivity,Number_of_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,C,H,N,O,S,Cl,F,P,I,Br,B,RNH2,R2NH,R3N,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC
42611257,489.9309905,9.6541,22,3,2,29,0,0,23,5,2,2,0,0,0,0.194444444,36,2,143.0513,51,54,0,2,100.3,11.53605235,1.006940594,10.45653717,26.07407407,10.94766821,272,308,23,18,3,3,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4
15951529,464.4439907,7.13228,12,3,4,34,1,0,23,7,1,1,0,0,0,0.147058824,34,1,122.9953,48,50,0,0,108.53,16.08089293,1.015655189,14.83302395,26.60207612,9.932360271,254,283,21,16,4,2,1,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,2
10127622,457.6869911,6.822,16,1,1,27,0,0,21,6,3,3,0,1,0,0.24137931,29,1,119.2611,42,44,0,0,88.41,12.41558298,0.951702632,12.04565373,21.70273484,9.666864961,217,236,17,15,4,3,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,3
5494449,464.5989938,9.9477,17,1,0,47,0,0,36,7,4,4,0,0,1,0.216216216,37,3,155.3313,61,65,0,0,128.57,16.17093452,1.010401028,15.00447156,24.68371074,11.37278107,332,359,23,28,8,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,3
159324,489.4059894,9.8035,28,1,0,31,0,0,24,4,1,0,0,0,0,0.105263158,38,2,162.8265,56,60,0,0,67.46,12.24292443,1.014677271,11.06583096,25.64127424,10.40073869,298,336,27,22,4,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,5
11364421,521.6659902,12.9848,12,2,0,67,0,0,48,8,3,3,0,0,1,0.19047619,42,3,182.4866,77,81,0,0,104.13,16.50987889,1.006061065,15.4104143,29.49092971,13.32,423,451,28,39,7,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,5,2
16736978,465.5539907,10.3709,17,0,0,52,0,0,40,9,1,1,0,1,0,0.131578947,38,4,157.2922,65,69,0,0,93.07,17.31150977,0.970613535,16.83563606,25.64127424,11.58847737,355,372,25,31,5,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,5,3
9884685,348.3619928,6.1655,21,0,0,25,0,0,22,7,1,1,0,0,0,0.066666667,30,4,111.4062,42,46,0,0,84.51,12.36886668,0.970869974,11.73998271,18.05555556,7.78799351,232,261,19,16,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,5,4
24964624,407.4769918,8.0117,27,1,0,29,0,0,24,4,2,1,0,0,0,0.083333333,36,3,145.0209,52,57,0,0,90.69,15.62230826,1.0116117,14.4429889,21.52777778,8.652263374,289,340,25,21,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,5
2051,315.7599933,6.7668,17,0,0,21,0,0,19,4,1,1,0,0,0,0.166666667,24,1,101.7794,36,38,0,0,56.27,11.29567901,1.014635534,10.13274534,16.84375,7.713498623,184,190,16,14,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,3
