,A375,A549,A673,HCT116,HS 578T,HT29,LNCAP,LOVO,MCF7,PC-3,RKO,SK-MEL-28,SW-620,VCAP
5110,-0.171620214,-0.188865262,0.182064544,0.381945431,0.08285229,-0.165851878,0.267978008,0.838877192,-0.167658398,-0.380547647,0.145634049,0.628553791,0.233167573,-0.050440609
2534,-0.152543676,0.05211229,-0.13875237,-0.376787892,-0.374292842,0.00444166,-0.362063369,0.312439361,-0.028022601,-0.171310732,-0.121436556,0.380256133,0.354474332,0.099526172
4609,-0.170798761,-0.130898144,-0.663279077,0.43587225,-0.326789428,-0.149860773,-0.139096752,0.306705941,-0.112311492,-0.26028319,-0.032834448,0.442976629,0.277898794,0.004102492
5423,-0.047196245,0.128350705,-0.368326812,-0.239753832,0.249571963,-0.091886352,0.341255875,-0.474154258,0.016423687,0.009212049,0.338807172,0.392436431,0.229486234,0.088706788
1070,-0.073406082,-0.12543603,-0.445610016,-0.188240758,-0.11690282,-0.069582883,0.340588005,-0.169014108,-0.159418724,-0.254152123,0.019301399,0.232430924,-0.130097694,0.02078137
10051,-0.122319878,0.005287062,-0.060281224,0.304381164,-0.154437635,-0.213512439,-0.077005533,-0.078652615,-0.009908636,0.003039251,0.461548287,0.644351826,0.222787888,0.098851294
6603,-0.173453651,-0.03542645,0.112556738,0.664086679,-0.019993616,-0.102162553,-0.095944681,0.137444987,-0.212074083,0.05229175,1.071673891,0.628810145,0.320961219,0.038559158
9019,-0.110172554,-0.218282079,0.119429427,0.410245544,-0.06151476,-0.116136996,0.301011387,0.426070576,-0.126498342,-0.449277888,0.533904074,-0.040551791,-0.21549414,-0.099417023
4893,-0.031892268,0.022947902,-0.020076868,-0.098261841,-0.134596802,0.133555347,-0.106490389,-0.057332863,0.124058935,0.254341145,-0.749821828,0.286983572,0.080781056,0.055222164
10969,-0.084455596,-0.241371766,0.244697915,0.24421208,-0.121399796,-0.071263064,0.100148304,0.526579401,-0.300673782,-0.507946783,0.6328998,-0.241326564,0.009914818,0.14793238
9797,0.117036441,0.141368857,0.273516444,0.792597354,0.034374333,0.070444865,0.05558179,0.411689135,0.148839637,0.002377075,0.597675562,0.756823775,0.607384853,0.216500605
4043,-0.148125831,-0.349495928,-0.253524992,0.419358324,0.24860504,-0.013896051,0.438351287,0.244270626,-0.149388864,-0.178530512,0.806001485,0.423243968,0.498730628,-0.04385414
665,-0.191140167,-0.384183486,-0.192117496,-0.039282938,-0.292154864,-0.138164333,0.188659401,-0.391478934,-0.155542161,-0.535970704,0.416243623,0.53110355,-0.006685556,0.254706644
9519,-0.137240771,-0.009487907,-0.05392206,0.19577344,-0.058432696,0.078410131,-0.025180024,-0.029733861,0.1789621,-0.016545756,0.180701585,0.326992997,0.099939407,0.125197018
8480,-0.20362566,-0.202493793,-0.023967086,0.409719677,-0.174027979,-0.173467361,-0.257523651,0.142373693,-0.104115735,-0.129495773,0.62101241,1.000359431,0.334804513,0.047768839
983,-0.039439913,-0.095262898,-0.149876454,0.264016589,0.223146597,-0.104122986,-0.202635333,0.673822614,0.024935002,-0.188761839,0.463200862,0.040086595,0.2981062,0.051383082
10559,-0.073261392,0.049795729,0.139403378,0.20805056,0.289682417,0.052622658,0.31014394,-0.317009136,0.220792345,0.125674462,-1.213022885,-0.506311118,0.345265643,-0.144668422
8508,-0.097735712,-0.213525336,-0.270902595,0.379662633,0.037735277,-0.026186124,0.253661951,0.238500604,-0.206852889,-0.335194746,0.853808785,-0.276381796,0.523806894,-0.109606975
9275,0.001821557,0.006338571,-0.301731765,0.282995997,0.129589707,-0.010990934,-0.192110183,-0.17148826,0.044315992,0.002316979,0.546378686,0.412184598,0.426940724,0.225196541
8914,-0.111720121,0.064767916,-0.171896237,0.477058362,-0.177169194,-0.162151419,-0.120426569,0.553702884,0.17636237,0.223659628,0.04215904,-0.587953281,0.11199755,-0.032399462
54505,0.174587647,0.378968177,-0.285103104,0.152828147,0.254843904,0.146350299,0.321992357,0.222105194,0.291076194,0.165338265,0.428020701,0.08362061,0.419824422,0.160290437
4313,0.078698075,-0.017451495,0.605592399,-0.462775693,-0.01529177,-0.052384024,0.316615951,-0.842265754,0.017423334,0.17294807,-0.760696208,-0.791373402,-0.281500717,-0.127690277
6919,0.001556466,-0.106359341,-0.489278556,-0.403730343,0.030253486,-0.057636231,0.023439599,-0.554895684,-0.256475307,0.015219323,-0.341389353,-0.640122922,-0.247693353,-0.096816552
2274,-0.120927575,-0.212044584,-0.338422103,0.015539563,0.201884203,-0.140830976,0.255023681,-0.323260282,-0.103792009,-0.171798549,0.213972621,0.247595752,-0.06927603,0.251191413
2288,-0.106674322,-0.319532117,0.266297899,-0.640174944,0.060605333,-0.138346879,-0.0600002,0.152017091,-0.225854714,-0.079875068,-0.593159315,-1.0181923,-2.193529458,-0.302674584
7994,-0.107842705,-0.186576274,-0.533690664,0.125840163,-0.16937051,0.107229362,-0.294769397,0.118154589,0.160615928,0.065613984,0.175837144,0.072260603,0.012492933,-0.166818817
1022,-0.090833467,0.218459615,-0.611672799,-0.295442926,0.285192733,-0.11455637,0.087775075,-0.318157204,0.031475427,-0.094743162,-0.034068541,-0.220523073,-0.187217734,-0.184392407
4216,0.038424167,0.202491741,-0.22119754,0.402307486,-0.165567169,0.03826254,-0.067133592,0.805917448,0.270574633,0.135487366,0.858234212,0.605310973,0.394942512,0.147045988
7538,0.023583062,-0.077629606,0.171838893,-0.416291059,-0.11402278,-0.1626817,-0.229468889,-0.281995262,0.02698311,0.187634472,-0.717887706,-0.742601527,-0.118841403,-0.235529941
3628,-0.240895742,-0.2946592,-0.506231933,0.368182103,-0.082585196,-0.160645384,-0.536458015,0.208130401,0.091176831,-0.177283681,0.350265357,0.185541704,-0.123442619,-0.031221761
5880,0.080441302,-0.148379706,0.344089645,0.179442276,0.375915261,0.06396214,0.106208992,0.086944599,0.104228637,0.074328733,-0.238900023,0.373079568,0.110758682,0.086624896
3162,-0.124653333,-0.132986821,-0.437611796,0.000175657,0.085762059,-0.101675574,0.015367988,-0.255279871,-0.100318705,-0.274204954,-0.278114536,0.060730316,-0.039310425,0.277258865
1282,0.052684748,0.085276855,0.077657494,-0.455359394,0.305686046,0.108610015,0.074266431,-0.397649201,-0.025995539,0.172149727,-0.600739207,-0.886986438,-0.358361574,-0.039943748
2037,0.040183848,0.011373852,0.017890829,0.509178211,-0.171560857,0.214371773,-0.007824286,0.433234169,0.159096335,-0.165464707,0.09067948,-0.10740184,-0.445821203,0.258788267
2771,-0.138344997,0.013638481,-0.489784661,0.59278191,-0.343811705,-0.13114527,-0.044407982,0.547575867,-0.189589731,-0.265411638,0.193003418,0.680058949,0.160622924,-0.028042399
7264,-0.123376723,-0.2220695,0.054709699,0.387494249,-0.19970534,-0.085435233,-0.248646232,-0.09092952,-0.097998908,-0.325765358,0.334713494,0.364855318,0.553412416,0.034720507
1786,0.115178169,0.091905605,0.2140325,0.429625962,0.076551686,0.063637834,0.079297671,0.327637361,0.206855266,0.299270289,-0.486985902,-0.39371292,-0.412583648,-0.108128768
5873,0.172863234,0.14430288,-0.099796368,-0.148422779,-0.047289332,0.079912262,0.119410892,0.027069206,0.123120727,0.362505747,-0.136545493,-0.066977165,-0.084898696,0.068770346
780,0.239125309,0.226093119,0.179641902,0.135438101,0.444246584,0.146314648,0.361085939,-0.375585164,0.051084514,0.267657534,0.348312229,-0.531271769,0.063974949,-0.055536827
9926,-0.089037721,-0.140446824,0.354629001,0.471068478,0.246593788,-0.066004588,0.111351541,0.331924923,-0.075082927,-0.141301113,0.58054593,0.56268954,0.182224828,-0.117590749
8446,-0.1523884,0.017530383,0.354736628,-0.411795192,-0.17227847,-0.10797152,-1.097505445,-0.095968334,0.096970199,0.025761491,-0.581396853,-0.299098099,-0.193220053,-0.124860931
7159,-0.03458471,-0.151563816,-0.371154392,-0.163962361,0.132834344,-0.06948366,0.030436213,0.301857079,-0.047750946,-0.101175123,-0.506903647,-0.038483828,-0.268549752,-0.091223088
1026,-0.228470559,-0.273572639,-0.14315516,-0.078572378,0.079875519,0.061042349,-0.215920537,0.05809692,-0.238082233,-0.253976348,0.313162257,0.073945899,-0.493145339,-0.184420726
7082,0.102314552,0.124265763,-0.393641116,-0.038359106,0.078397304,-0.031335338,-0.228411676,0.366827501,0.325775037,0.161064135,-0.47838694,0.100532952,0.219413496,0.008595589
10058,-0.190056211,-0.18699295,0.036572609,-0.209048822,-0.01401755,-0.106648919,0.135724882,-0.532549549,-0.201744354,-0.118018397,0.410542855,-0.411094868,0.305476126,-0.106084744
10797,-0.105725533,-0.214747948,0.301022095,0.096113759,-0.020649151,-0.179088731,-0.069299297,-0.303171807,-0.340839514,-0.476014004,0.569100885,-0.527158734,-0.333036359,0.058568888
11230,-0.169769986,-0.457618611,-0.373397803,-0.047262735,-0.153145063,-0.042760245,-0.349289893,-0.276218305,-0.345122515,0.176530936,0.231451482,0.215528384,0.485875517,0.018763294
30836,-0.049569826,-0.047178385,-0.873668164,-0.15799215,-0.37211029,-0.197112758,-0.218346801,-0.644393848,0.056840765,-0.220619802,-1.416040657,0.340540392,0.14459377,-0.044889728
27336,0.093151615,0.093038811,0.292257002,-0.484768375,0.062915084,-0.095154918,-0.169982096,-0.227674906,0.142395802,0.156064016,-0.597450557,-0.605534921,-0.095594172,-0.152525168
9918,0.044090681,-0.049760929,0.41276376,-0.134045088,0.110063555,0.024663491,-0.125417281,0.010990866,0.107915161,0.250104073,-0.609870986,-0.49343735,-0.354538952,-0.101125805
79073,0.022277841,0.012925128,0.101374137,0.638782677,0.216002873,-0.007147367,-0.045024621,0.689330116,0.142881895,-0.040021133,0.949067453,0.880123088,0.409066793,0.109915125
3383,0.029798886,0.039358871,-0.366939697,-0.51757152,0.256579147,0.066757384,-0.230327418,-0.002557085,0.337822502,0.225360401,0.035024935,-0.126959688,-0.097765051,0.100766659
9688,-0.141258453,-0.09456834,0.246607656,0.373108337,0.122639638,-0.050058615,0.206929902,0.463025233,0.017477762,-0.220203198,0.117397433,0.319432838,0.710386164,0.067114357
23659,-0.021719447,0.001271171,-0.031603046,0.416436633,0.055570157,-0.022181534,0.284244012,0.117075083,-0.031772699,-0.08986082,0.923027933,0.250737085,0.399986023,0.040085348
8396,-0.051681116,0.14539224,-0.159431404,0.818215633,-0.164032438,-0.031718975,-0.291644978,0.2405319,0.226633823,0.070110071,0.753563877,0.631277996,0.466224516,0.11502729
23077,0.161479603,0.149885275,-0.02223114,-0.078090084,0.136105863,0.163163921,-0.187513186,-0.079988866,0.236624816,0.363023447,-0.446410471,-0.55627955,0.44684072,0.111458103
10857,-0.067920136,0.00843268,-0.242030144,0.745328857,0.35880791,-0.057911524,0.208201689,0.541637977,0.103747269,-0.1951368,0.530421951,0.194468195,0.285954339,-0.010510291
16,-0.038045928,-0.078952409,-0.358770109,-0.545517092,-0.00136777,-0.053965,-0.023465555,-0.463257482,-0.048438078,-0.022632351,0.264430515,-0.532011521,-0.429934027,-0.320265835
2817,-0.004471489,0.125618482,0.360581989,-0.114374618,0.054651986,0.031063942,-0.491547205,-0.407900127,0.164559603,0.117493794,-0.091775698,-0.567867527,-0.420638543,0.018424191
60528,-0.183009729,-0.048598355,0.711689712,0.758765371,-0.223995316,-0.112198068,-0.300947283,0.170983281,0.011134294,0.094782795,0.718236152,-0.060760315,0.024020811,0.051439654
5359,0.068173442,0.236135009,0.13659212,-0.324219288,0.255795236,0.106246852,0.097516959,0.297141404,0.187908014,0.082118223,-0.073171035,0.778990991,0.356271712,0.091046077
1514,-0.222921027,-0.184822619,-0.37526354,0.321140479,0.121759185,-0.064962598,0.067529708,-0.079578092,-0.253304998,-0.275524359,0.288771025,0.046563534,0.381544073,-0.15776069
1509,-0.016234272,-0.321967187,-0.309059624,-0.810977459,0.080672599,-0.016380386,0.375536085,-0.570837583,-0.112045583,-0.131287401,-0.109116647,0.386129375,-0.388279411,-0.213759225
9181,-0.12652374,-0.196719725,-0.030145142,0.171376816,0.202755155,-0.116107393,0.36052196,-0.268628318,0.118477235,-0.159374137,0.512846933,0.543765132,0.135703799,0.148161469
3611,-0.228521499,-0.291531615,0.141034752,0.100459112,-0.241496737,-0.078639719,-0.233878787,-0.8510701,-0.255423249,-0.308376636,-0.156654393,0.516884878,0.197469876,-0.031584055
4783,-0.023990331,0.189996699,-0.587814676,-0.057300991,0.048434694,0.018253754,-0.295638935,-0.331050215,0.086347659,-0.000432613,-0.301030282,-0.175065426,-0.139857568,-0.031784514
10123,0.144854311,0.24061782,0.413392736,-0.577022405,0.302701671,0.075463542,0.241055971,-0.326098019,0.046856687,0.276699715,-0.802105632,-0.578942248,-0.058759106,-0.072646196
8895,-0.031553431,-0.099442176,0.031117034,0.006986433,0.147631391,-0.064986392,0.239100714,-0.052633621,-0.082229942,-0.309521141,0.345192882,-0.436708351,-0.043931238,-0.146526834
727,0.251431556,0.020955179,0.091265013,-0.424562814,0.26760134,0.157696414,0.026592684,0.17095014,0.189215664,0.287775559,-0.493368132,-0.285825508,-0.460845385,0.224323497
9805,-0.127821742,-0.036633531,-0.359870481,-0.0930573,-0.333014121,0.014357976,-0.318030898,-0.590644147,-0.102183057,0.058675808,0.291335385,0.483472367,0.175724557,0.102095601
4125,-0.106040845,-0.164185292,0.801320211,0.539976677,-0.373927142,-0.060788129,-0.067231761,-0.060492782,-0.096390999,-0.1817898,0.706279855,0.307641159,0.482104145,0.027494783
4792,-0.060492886,-0.076528131,-0.349967764,0.159026878,0.227404942,-0.044066624,0.205837491,-0.00292646,-0.176884235,-0.120732213,0.304861095,0.121594904,0.255787103,-0.110562126
1635,-0.044927881,0.08618213,-0.162654204,0.513730959,0.150123733,-0.081039216,0.018744815,0.445353486,0.14357179,0.124050948,0.705247914,0.182950404,0.195848748,0.053230586
4154,-0.039593416,-0.020035842,0.574923768,0.702770526,0.058975662,0.11244893,0.071977023,0.03457308,0.23472224,-0.013630447,0.452117762,0.254612747,0.429349993,0.138764348
26292,-0.160366726,-0.216732982,-0.216933026,0.379606495,0.173988014,-0.056831834,0.051810043,0.417244509,-0.199209266,-0.356937385,0.581251346,0.56811077,0.632038324,0.108297983
5770,-0.041434819,-0.14184166,0.337861022,-0.316186005,0.080471092,-0.096089687,-0.012975614,-0.505989628,-0.016718177,0.037086646,-0.085870902,-0.300836644,0.132526542,-0.068274269
25874,-0.268940294,-0.060642239,-0.114875208,-0.318308876,0.012521075,-0.228826013,0.147155118,-0.274900836,-0.030325943,-0.289410357,-0.430787655,-0.276968195,-0.007272252,-0.024580158
11319,-0.034247549,0.34577609,-0.089359813,0.927220646,0.398044865,0.072119019,0.128993234,0.202938574,0.284965861,-0.003798995,-0.358305877,0.011025511,0.267392816,0.088520964
1153,-0.18927587,-0.192903802,-0.030202339,0.376085583,0.017937393,0.014770792,-0.113596616,-0.024951009,-0.235041473,-0.24334938,0.247022849,0.355569573,0.085530531,-0.166068211
4794,0.153862144,0.09541553,0.435220291,-0.389073154,0.272591508,0.108367304,0.052556013,-0.466625584,0.108945299,0.254881793,-0.167374845,-0.658916449,-0.027831818,0.01270448
11098,0.089688138,0.057431095,-0.042801166,-0.190838147,0.042162453,-0.071628711,0.144571678,-0.520100311,0.065364679,-0.173216816,-0.68867446,0.786874482,-0.019127358,-0.171123542
902,-0.234672177,-0.075425087,0.516108762,-0.259902607,-0.056459543,-0.093395949,-0.314935916,-0.238728901,-0.044401245,-0.242821156,-0.65550793,-0.028213653,-0.058370076,-0.03670821
8974,0.131788347,-0.106241232,-0.500282324,-0.146800246,0.238472835,0.042238604,0.370810646,-0.019531678,0.040223876,-0.166819951,0.013014264,-0.030550343,0.075928529,0.102652458
533,-0.236344908,-0.196166738,-0.051232268,0.246386401,-0.050302139,-0.147886694,0.122384421,0.02122034,-0.216338742,-0.535557863,-0.014029113,-0.172423826,0.305610349,-0.132020618
823,0.078279693,0.101308358,0.206468767,0.77905057,0.232500327,-0.000527992,0.058270155,0.263750696,-0.026533367,0.008867259,0.517357473,1.514587118,0.267927598,0.075656326
6812,-0.09752808,-0.061017793,-0.31801537,0.22090188,0.023684915,-0.0696106,0.112799233,0.316881567,-0.015011199,-0.198079911,0.751006888,0.118084369,0.313079596,-0.052040085
